Wavelength,Intensity
702.525125,41
703.006531,40
703.488,38
703.969531,38
704.451125,37
704.932781,37
705.4145,38
705.896281,38
706.378125,38
706.860031,36
707.342,35
707.824031,34
708.306125,34
708.788281,34
709.2705,34
709.752781,34
710.235125,33
710.717531,33
711.2,32
711.682531,32
712.165125,33
712.647781,33
713.1305,33
713.613281,32
714.096125,32
714.579031,32
715.062,33
715.545031,33
716.028125,33
716.511281,33
716.9945,33
717.477781,33
717.961125,32
718.444531,32
718.928,32
719.411531,32
719.895125,32
720.378781,33
720.8625,33
721.346281,33
721.830125,33
722.314031,33
722.798,32
723.282031,31
723.766125,30
724.250281,29
724.7345,29
725.218781,29
725.703125,30
726.187531,31
726.672,32
727.156531,32
727.641125,31
728.125781,31
728.6105,31
729.095281,31
729.580125,31
730.065031,32
730.55,33
731.035031,34
731.520125,33
732.005281,33
732.4905,32
732.975781,31
733.461125,30
733.946531,30
734.432,30
734.917531,31
735.403125,32
735.888781,33
736.3745,33
736.860281,33
737.346125,33
737.832031,33
738.318,34
738.804031,34
739.290125,33
739.776281,32
740.2625,33
740.748781,36
741.235125,43
741.721531,50
742.208,57
742.694531,62
743.181125,64
743.667781,61
744.1545,58
744.641281,56
745.128125,55
745.615031,53
746.102,50
746.589031,48
747.076125,44
747.563281,40
748.0505,37
748.537781,34
749.025125,34
749.512531,34
